No,Requirement ID,Deskripsi Fungsional/ Non Fungsional,Klasifikasi,Sources,Tanggal Mulai,Tanggal Selesai,Durasi (Hari),Catatan,Aktor,Keterangan
1,RQ-01,Sistem harus memungkinkan Penyedia Barang untuk mendaftar akun dan mengelola (tambah edit hapus) katalog barang sewaan.,Fungsional,Client 2,4/23/2025,4/30/2025,7,"Mencakup validasi format unggahan foto produk dan batasan jumlah foto maksimal barang per etalase.",Dev3,Silahkan diisi masing-masing
2,RQ-02,Sistem harus menyediakan fitur pencarian barang dan filter pencarian berdasarkan Kota menggunakan dropdown.,Fungsional,Client 1,4/23/2025,4/30/2025,7,"Memanfaatkan query database (Eloquent) pada kolom kota untuk efisiensi beban server dibandingkan menggunakan API eksternal pihak ketiga.",Dev2,
3,RQ-03,Sistem harus memiliki fitur checkout pemesanan dengan pemilihan tanggal kalender dan perhitungan total biaya secara otomatis.,Fungsional,Client 1,4/23/2025,4/30/2025,7,"Perhitungan otomatis mengkalkulasi selisih hari (StartDate dan EndDate) dan mengalikannya dengan tarif sewa dasar.",Dev2,
4,RQ-04,Sistem harus melakukan penguncian stok (Inventory Locking) secara otomatis saat penyewa melakukan proses pesanan.,Fungsional,Stakeholder 2,4/23/2025,4/30/2025,7,"Pembaruan atribut stok menjadi 'Locked' saat status pesanan 'Pending Payment' untuk mencegah bentrok (Race Condition).",Dev1,
5,RQ-05,Sistem harus terintegrasi dengan Payment Gateway (Midtrans) untuk memproses pembayaran dan menahan dana secara aman (Escrow).,Fungsional,Stakeholder 2,4/30/2025,5/6/2025,6,"Melibatkan Webhook Payment Gateway untuk pembaruan status transaksi secara asinkron (Settlement Expired Cancel).",Dev1,
6,RQ-06,Sistem harus memiliki fitur Checklist Digital untuk mengunggah foto kondisi barang sebagai bukti serah terima dan pengembalian.,Fungsional,Stakeholder 2,4/30/2025,5/7/2025,7,"Wajib diisi sebagai syarat perubahan status penyewaan dari 'Aktif' menjadi 'Selesai' guna menghindari sengketa asuransi barang.",Dev2 Dev3,
7,RQ-07,Sistem harus memfasilitasi Admin untuk memverifikasi kelayakan foto dan data barang yang diunggah Penyedia sebelum barang tersebut dipublish ke katalog.,Fungsional,Stakeholder 1,4/30/2025,5/7/2025,7,"Proses otorisasi (Approve/Reject) manual oleh Admin sebagai Quality Control agar barang sesuai standar marketplace.",Dev1,
8,RQ-08,Antarmuka sistem harus responsif intuitif dan mudah digunakan ketika diakses melalui berbagai perangkat (Client Device).,Non-Fungsional,Stakeholder 1,4/30/2025,5/8/2025,8,"Penerapan prinsip Mobile-First Design menggunakan framework CSS untuk memastikan kompatibilitas resolusi layar perangkat.",Dev1 Dev2 Dev3,
9,RQ-09,Sistem harus memiliki fitur Autentikasi (Login/Logout) dan manajemen profil untuk seluruh aktor.,Fungsional,Stakeholder 1,4/30/2025,5/8/2025,8,"Menggunakan sistem manajemen sesi (Session/Token) untuk autentikasi dan pemisahan hak akses antar peran (Role-Based Access Control).",Dev1 Dev2 Dev3,
10,RQ-10,Sistem harus menyediakan halaman Riwayat Penyewaan bagi Penyewa untuk melacak status pesanan (Pending Aktif Selesai Batal).,Fungsional,Client 1,4/30/2025,5/8/2025,8,"Penyajian data historis transaksi secara kronologis dengan fitur pemfilteran spesifik berdasarkan status pesanan terkini.",Dev2,
11,RQ-11,Sistem harus memungkinkan Penyedia Barang untuk menerima atau menolak pesanan yang masuk berdasarkan ketersediaan aktual.,Fungsional,Client 2,4/30/2025,5/8/2025,8,"Pesanan yang ditolak secara otomatis memicu pengembalian dana (Refund) jika pembayaran telah melewati tahap Escrow Midtrans.",Dev3,
12,RQ-12,Sistem harus memiliki fitur Manajemen Kategori Barang yang dikelola secara terpusat oleh Admin.,Fungsional,Stakeholder 1,4/30/2025,5/8/2025,8,"Standarisasi taksonomi barang untuk memudahkan algoritma pencarian dan mencegah variasi penulisan kategori yang redundan.",Dev1,
13,RQ-13,Sistem harus memfasilitasi pencairan dana (Disbursement) dari rekening penampung ke rekening Penyedia Barang setelah transaksi selesai.,Fungsional,Stakeholder 2,4/30/2025,5/8/2025,8,"Pencairan dana diotomatisasi dari rekening penampung setelah persetujuan penyelesaian dari kedua belah pihak.",Dev1 Dev3,
14,RQ-14,Sistem harus mengenkripsi kata sandi pengguna (Hashing) dan melindungi rute halaman yang memerlukan hak akses khusus (Middleware).,Non-Fungsional,Stakeholder 1,4/30/2025,5/8/2025,8,"Penerapan Bcrypt hashing untuk kredensial dan middleware pembatasan akses guna mencegah keamanan IDOR (Insecure Direct Object Reference).",Dev1 Dev2 Dev3,
15,RQ-15,Sistem harus mencatat riwayat log (audit trail) untuk setiap perubahan status transaksi dan pergerakan dana Escrow.,Non-Fungsional,Stakeholder 1,4/30/2025,5/8/2025,8,"Pencatatan Timestamp ID Pengguna dan detail aktivitas setiap perubahan data kritis pada tabel audit_logs secara berkelanjutan.",Dev1,
